;Tweets;label
15;Satlantas Polres Bogor bakal menggelar tindakan dengan memberi sanksi baca Alquran. Sanksi ini berlaku bagi pengendâ€¦ https://t.co/7rWS04VYtq;0
16;Bagi para pengendara yang melanggar aturan lalu lintas akan mendapat sanksi, tetapi penindakan pelanggaran dilakukaâ€¦ https://t.co/V72cbbwerH;0
17;HMMM GIMANA YAA~ ðŸ¤” https://t.co/7GpUHCbwCR;0
18;@aulia_akbarz96 Wah iya bener juga ðŸ¤”;0
19;Masih menjadi misteri, apa sih yang membedakan Bubur Kacang Ijo Khas Madura dengan yang lainnya? Sulit sekali mendeâ€¦ https://t.co/wf2gwsaZEP;0
20;Doa dipersembahkan bagi kalian yang masih bertarung di jalan, atau yang sedang mengentaskan pekerjaan. Selalu diberâ€¦ https://t.co/mnR1z5xjfP;0
21;Terima kasih banyak Abang ðŸ«¶ðŸ¼ https://t.co/anS8weBSeQ;0
22;Kapal Cepat Cantika Express 77 rute Kupang-Alor, Nusa Tenggara Timur (NTT) mengalami kebakaran pada Senin (24/10/20â€¦ https://t.co/vKVrpQCCMW;0
23;"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir berbicara mengenai pemilihan presiden (pilpres) 2024.

https://t.co/md3FkKLp5X";1
24;https://t.co/HJz44MrrEP;0
25;Di episode kali ini, Joko Anwar akan bercerita mengenai masa kecil, remaja, hingga jatuh bangun dirinya dalam berkaâ€¦ https://t.co/FPWo0CUmpP;0
26;Takdir mengantarkannya menjadi sutradara dan produser bertangan dingin dengan karya-karya yang tak hanya mewarnai iâ€¦ https://t.co/DIctkioldm;0
27;Namun lingkungan keluarganya tidak mendukungnya dan malah meredupkan keinginannya itu. Namun, pertemuannya dengan sâ€¦ https://t.co/vf155lnk7X;0
28;"Manifesto: Mencari Makna Sinema di Kepala Joko Anwar

Dikenal sebagai kreator film-film horor hits Indonesia tak laâ€¦ https://t.co/tagHj4RAb6";0
29;Polda Metro Jaya juga mendalami afiliasi yang bersangkutan seraya memastikan investigasi kasus tersebut akan dilaksâ€¦ https://t.co/8SriwSKQHw;0
30;Ganjar Pranowo berhasil meraup suara NasDem.Â Anies menempati posisi ketiga dengan persentase elektoral hanya 15,4 pâ€¦ https://t.co/prS5Or04yD;1
31;Pemusnahan ladang ganja melibatkan 131 personel gabungan BNN, Polri, TNI, kejaksaan bea cukai, dan unsur pemerintahâ€¦ https://t.co/TYnZ40xIbK;0
32;"Whatsapp down. Pihak WhatsApp mengakui terjadi pemadaman dan sedang bekerja untuk memulihkannya.

https://t.co/xS0BhpxVIZ";0
33;"Polisi dalami asal pistol yang dibawa perempuan tersebut. Senjata api itu sempat ditodongkan ke anggota Paspampres.

https://t.co/fS2yByWrd6";0
34;"Dewan Kolonel disebut-sebut sebagai wadah bagi pendukung Puan Maharani sebagai calon presiden (capres). 

https://t.co/Myx3ODiuAF";1
35;Kuasa Hukum keluarga Brigadir J, Kamaruddin Simanjuntak menuding Putri Candrawathi turut menembak Brigadir Nofriansâ€¦ https://t.co/V23vd5IbgO;1
36;Manifesto bersama @Jokoanwar, sesaat lagi hanya di Asumsi. https://t.co/HJz44M9iqH;0
37;"â€œPemerintah mewajibkan vaksinasi booster, tapi barangnya langka,â€ ujar Koordinator Advokasi LaporCovid-19, Firdaus.

https://t.co/xujQDDQmzr";0
38;"Pemerintah melarang bahan bakar minyak (BBM) dengan kadar RON 89 dan 88 serta yang lebih rendah dari keduanya.

https://t.co/ketfdFhRAD";0
39;@registaco Turuuuuu!!!;0
40;Seorang perempuan dilaporkan berupaya menerobos Istana Negara. Perempuan yang diduga berusia 25 tahun itu sempat meâ€¦ https://t.co/lFxiUEruZa;0
41;@aulianagnf ngobrolin apaan si emangnyah?;0
42;Jiakh!!! https://t.co/DyulKGOmTp;0
43;Sejauh ini japri masih aman, tapi kalo ke grup mampet. Ada yang sama?;0
44;WhatsApp down? https://t.co/6nETJsQcum;0
45;"Temuan itu terungkap setelah Kemenkes melakukan pengujian sel ginjal atau biopsi pasien gagal ginjal akut.

https://t.co/88av6IgzPZ";0
46;"ðŸ‘€ðŸ‘€ðŸ‘€

@jokoanwar https://t.co/t6JjU0VGwg";0
47;"Inget gak, berapa kali gagal saat tes ini? ðŸ˜…ðŸ˜…

https://t.co/Zku4AF1CbM";0
48;Ihiiiiiiwwww ðŸ™ŒðŸ™Œ https://t.co/IpEbUUWSop;0
49;"Bharada E menyalami dan berlutut ke orang tua Brigadir J.

https://t.co/dl31WwWuB7";0
50;Jubir Kemenkes dr. M Syahril mengatakan obat ini dipastikan tidak menggunakan Propilen Glikol, Polietilen Glikol, Sâ€¦ https://t.co/pZ5bDlvLJL;0
51;"Beberapa yang ditarik yakni sampo kering aerosol Dove, Nexxus, Suave, TIGI, dan TRESemmÃ©. 

https://t.co/1Y2MK9Mb6R";0
52;"Seorang Perempuan membawa pistol coba terobos Istana Negara. Disebut sempat todong Paspampres.

https://t.co/tHZ4s5k3t8";0
53;Insiden ini bermula ketika anggota Sat Gatur melakukan tugas rutin pelayanan masyarakat penjagaan dan pengaturan diâ€¦ https://t.co/J3UG1TYqyB;0
54;Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono meminta Dinas Perhubungan mempercepat sebaran informasi titikâ€¦ https://t.co/ADZmNoJGlN;1
55;"Rishi Sunak menjadi PM Inggris. Karir politik Rishi di Inggris terbilang moncer.

https://t.co/qTIpE7h3sV";1
56;Polisi meringkus seorang wanita bersenjata api yang diduga hendak menerobos Istana Presiden, Jakarta Pusat. Ia membâ€¦ https://t.co/fWPCjgWaN6;0
57;"Insiden itu terjadi pada Selasa (25/10/2022) pukul 07.00 WIB di pintu masuk Istana Negara.

https://t.co/h1CvLPOEGM";0
58;Mahfud mengatakan peralihan tersebut dilakukan secara bertahap karena masih ada beberapa infrastruktur, yakni set tâ€¦ https://t.co/HmqIFeLhYX;0
59;Penahanan itu lantaran penyidik menganggap pemeriksaan terhadap para tersangka sudah memadai. Sehingga dinilai sudaâ€¦ https://t.co/AOJfNix5gD;1
60;"Obat ini dianggap efektif untuk melawan penyakit gagal ginjal akut misterius yang kini marak menimpa anak-anak.

https://t.co/ome5FD4HPy";0
61;Kepala Kantor Pencarian dan Pertolongan Kupang, I Putu Sudayana mengungkap pihaknya masih dalam proses pencarian beâ€¦ https://t.co/x5u86ZgXkN;0
62;Kapal Feri Cepat (KFC) Cantika 77 pelayaran dari Kupang ke Kalabahi, Kabupaten Alorm, NTT terbakar, Senin (24/10/20â€¦ https://t.co/pu2QIzN7F8;0
63;Wuiiiih ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼ https://t.co/izdFNi0OuW;0
64;â€œSaya orang diklat. Semua kader mesti siap apapun,â€ kata Ganjar di Kantor DPP PDIP, Jalan Diponegoro, Jakarta Pusatâ€¦ https://t.co/c78xFpxlOe;1
65;"ðŸš¨ðŸš¨ðŸš¨

Rishi SunakÂ jadi Perdana MenteriÂ Inggris menggantikan posisi Liz Truss yang mundur belum lama ini.

Eks Menterâ€¦ https://t.co/ykMiRdGxaM";0
66;Dewan Pimpinan Pusat (DPP) PDI Perjuangan memberikan sanksi dalam bentuk teguran lisan kepada Gubernur Jawa Tengahâ€¦ https://t.co/wXytkZfmcc;1
67;Pelaku diancam dengan pasal berlapis. Yaitu, pembunuhan berencana, perampokan yang mengakibatkan korban meninggal dâ€¦ https://t.co/UCgOhqPLfh;0
68;â€œKami dari kerajaan Saudi sangat menyambut jamaah Indonesia tanpa ada batasan terkait kesehatan, jumlah dan kami saâ€¦ https://t.co/0tpxJOkcrX;0
69;Hal itu merupakan buntut temuan etilen glikol (EG) dan dietilon glikol (DG) pada sejumlah produk obat yang ditengarâ€¦ https://t.co/K6lylCmA2a;0
70;"â€œKami sudah membantah tegas pernyataan Saudara Kamaruddin tersebut,"" ujar Pengacara Putri Candrawathi, Febri Diansyâ€¦ https://t.co/C7Ih6IOzdi";0
71;Kapolri Jenderal Listyo Sigit Prabowo memerintahkan jajarannya berbenah diri dengan memberantas pungutan liar (pungâ€¦ https://t.co/DmQHbI32OX;0
72;"Angka paparan kasus gagal ginjal akut mengalami lonjakkan yang cukup signifikan ketimbang beberapa hari lalu.

https://t.co/SDaM1PA0SG";0
73;Namun, tak ada keterangan lebih lanjut terkait industri mana yang dimaksud. Penny mengatakan tindak pidana yang dilâ€¦ https://t.co/EG3tF0KvcB;0
74;Presiden Joko Widodo panggil Kepala BPOM, Penny Lukito dan Menteri Kesehatan, Budi Gunadi Sadikin untuk membahas teâ€¦ https://t.co/VPVElPhQvE;0
75;"Presiden Joko Widodo atau Jokowi menegaskan komitmen dukungan terhadap kemerdekaan Palestina.

https://t.co/GvA39d1E3o";1
76;https://t.co/g9fTNvGVrE;0
77;Pasti kalian udah tau dong, kalau Presiden Jokowi selalu mengunggah ucapan di hari nasional dalam bentuk poster, meâ€¦ https://t.co/UiAOyHsblb;1
78;Hihi.. mana nih yang jadi favorit kalian dari deretan poster pak Jokowi? coba spill di kolom komentar yaa ðŸ˜ðŸ‘‡ðŸ» https://t.co/NV1VlBlQ0L;1
79;"AKP Manaek S Ritonga punya harta mencapai Rp11.464.500.000 (Rp11,4 miliar).

https://t.co/UcaWHUT6kA";0
80;KPK telah menetapkan Lukas Enembe sebagai tersangka kasus dugaan suap dan gratifikasi terkait pekerjaan atau proyekâ€¦ https://t.co/hxmFAamJg6;1
81;Milenial dan Gen Z menggunakan paylater untuk membeli fesyen, aksesoris, pulsa, gawai, elektronik rumah tangga, hinâ€¦ https://t.co/5anrj1sobY;0
82;"Kapolri Jenderal Listyo Sigit Prabowo mengancam akan mencopot jajarannya yang meminta uang 'setoran' ke bawahannya.

https://t.co/9G0vAY5mAH";1
83;Kuasa Hukum Putri Candrawathi, Febri Diansyah menegaskan bahwa ada insiden kekerasan seksual yang dialami Putri diâ€¦ https://t.co/mmaQx0tn12;0
84;Menurut Xi Jinping, China tidak bisa berkembang hanya dengan mengisolasi diri. Sebaliknya, dunia juga membutuhkan Câ€¦ https://t.co/T0fK0sIwtu;0
85;Badan Pengawas Obat dan Makanan (BPOM) RI merilis daftar 133 produk obat sirup yang dinyatakan aman digunakan sesuaâ€¦ https://t.co/OV0Lxz5to2;0
86;"Kepuasan masyarakat terhadap Pemerintahan Jokowi-Maruf turun sebesar lima persen jika dibanding Juni 2022.Â 

https://t.co/vuL85KfLgq";1
87;Indonesia sebenernya ngirimin lima petarung dalam turnamen ini. Sayangnya, cuma JekaÂ Saragih yang berhasil melaju hâ€¦ https://t.co/1QvJv7N7C6;0
88;"Road to UFC sendiri adalah ajang pertarungan bagi para atlet Mixed Martial Art (MMA) dari Asia. 

Mereka baku hantaâ€¦ https://t.co/BBX2fL0p0a";0
89;Jeka Asparido Saragih atau Jeka Saragih, selangkah lagi akan mendapatkan kontrak eksklusif dari Ultimate Fighting Câ€¦ https://t.co/DhoM4DJODB;0
90;Turut berduka ðŸ¥€ðŸ¥€ https://t.co/xaGN96e9rN;0
91;"Jangan lupa makan siang gaes ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼

https://t.co/IlxGQqg0Xq";0
92;Namun, penegakan hukum di tempat kejadian perkara (TKP) masih bisa dilakukan saat terjadi kejadian seperti kecelakaâ€¦ https://t.co/tCVwajW9WN;0
93;Menurut pihak manajemen, brosur itu sengaja dimasukkan oleh salah seorang karyawan mereka tanpa seizin pihak Restorâ€¦ https://t.co/l1fKerxX2B;0
94;"Maskapai Korean Air itu tergelincir dari landasan pacu pada dalam upaya pendaratan ketiga.

https://t.co/nrKZjlfGnC";0
95;"Korban meninggal dunia tersebut bernama FDK (20 tahun) warga Kelurahan Mojolangu, Kota Malang. 

https://t.co/hS6dwbX088";0
96;Australia menyebut gugusan Pulau Pasir sebagai Ashmore Reef. Gugusan Pulau Pasir memang tidak banyak dikenal masyarâ€¦ https://t.co/xJh6p8VLyK;0
97;Pelaku tertangkap pada Minggu sore di kawasan Cicendo, Kota Bandung, Jawa Barat. Kini pelaku telah dibawa ke Polresâ€¦ https://t.co/GWNp4MR9sN;0
98;"Kepala BPOM Penny Lukito menjelaskan, masih ada sisa 69 produk lagi yang kini dalam proses sampling dan pengujian.

https://t.co/Jfw1yb5F1M";0
99;"BPOM mengaku sudah menerapkan pengawasan terhadap pencemar dalam bahan baku.Â 

https://t.co/byFR06Keyu";0
